Exception ID,Location 1,Opened Datetime,Resolved Datetime,Duration,OpenedYear/Month,Under 12 Hours,Under 24 Hours
0,Book 1 Warehouse (8.72),2023-10-01 12:23:13,2023-10-01 19:00:15,6.617222222222222,2023-10,1,1
1,"Book 2 Warehouse (8.71,8.46,8.47)",2023-10-01 13:07:15,2023-10-01 19:01:31,5.904444444444445,2023-10,1,1
2,"Book 3 Warehouse (7.08,7.09,7.17,7.19,7.20)",2023-10-01 13:07:23,2023-10-02 15:04:23,25.95,2023-10,0,0
3,Book 4 Warehouse (8.77),2023-10-01 13:07:31,2023-10-01 18:58:38,5.851944444444444,2023-10,1,1
4,Book 5 Warehouse (7.00-7.03),2023-10-01 13:07:41,2023-10-02 15:00:57,25.887777777777778,2023-10,0,0
5,Book 6 Warehouse (1.58),2023-10-01 13:07:50,2023-10-02 14:56:39,25.81361111111111,2023-10,0,0
6,"Book 7 Warehouse (1.02,1.08,5.29)",2023-10-01 13:07:57,2023-10-02 14:53:32,25.759722222222223,2023-10,0,0
7,Book 4 Warehouse (8.77),2023-10-02 03:59:59,2023-10-02 15:11:44,11.195833333333333,2023-10,1,1
8,Book 5 Warehouse (7.00-7.03),2023-10-02 03:59:59,2023-10-02 15:01:42,11.028611111111111,2023-10,1,1
9,"Book 3 Warehouse (7.08,7.09,7.17,7.19,7.20)",2023-10-02 03:59:59,2023-10-02 15:05:06,11.085277777777778,2023-10,1,1
10,"Book 7 Warehouse (1.02,1.08,5.29)",2023-10-02 03:59:59,2023-10-02 14:54:15,10.904444444444444,2023-10,1,1
11,Book 6 Warehouse (1.58),2023-10-02 03:59:59,2023-10-02 14:57:28,10.958055555555555,2023-10,1,1
12,Book 1 Warehouse (8.72),2023-10-02 03:59:59,2023-10-02 15:09:59,11.166666666666666,2023-10,1,1
13,"Book 3 Warehouse (7.08,7.09,7.17,7.19,7.20)",2023-10-02 13:07:23,2023-10-02 15:04:23,1.95,2023-10,1,1
14,Book 5 Warehouse (7.00-7.03),2023-10-02 13:07:41,2023-10-02 15:00:57,1.8877777777777778,2023-10,1,1
15,Book 6 Warehouse (1.58),2023-10-02 13:07:50,2023-10-02 14:56:39,1.813611111111111,2023-10,1,1
16,"Book 7 Warehouse (1.02,1.08,5.29)",2023-10-02 13:07:57,2023-10-02 14:53:32,1.7597222222222222,2023-10,1,1
17,Book 1 Warehouse (8.72),2023-10-03 12:23:13,2023-10-03 14:53:15,2.5005555555555556,2023-10,1,1
18,"Book 2 Warehouse (8.71,8.46,8.47)",2023-10-03 13:07:15,2023-10-03 14:49:58,1.7119444444444445,2023-10,1,1
19,Book 4 Warehouse (8.77),2023-10-03 13:07:31,2023-10-03 14:55:49,1.805,2023-10,1,1
20,"Book 5 Production (1.94,1.97)",2023-10-06 03:59:59,2023-10-31 14:41:37,610.6938888888889,2023-10,0,0
21,"Book 2 Warehouse (8.71,8.46,8.47)",2023-10-08 13:07:15,2023-10-08 22:54:03,9.78,2023-10,1,1
22,"Book 7 Warehouse (1.02,1.08,5.29)",2023-10-08 13:07:57,2023-10-09 14:06:18,24.9725,2023-10,0,0
23,Book 4 Warehouse (8.77),2023-10-09 13:07:31,2023-10-09 14:18:19,1.18,2023-10,1,1
24,Book 5 Warehouse (7.00-7.03),2023-10-09 13:07:41,2023-10-09 14:10:22,1.0447222222222223,2023-10,1,1
25,Book 6 Warehouse (1.58),2023-10-09 13:07:50,2023-10-09 14:08:09,1.0052777777777777,2023-10,1,1
26,"Book 7 Warehouse (1.02,1.08,5.29)",2023-10-09 13:07:57,2023-10-09 14:06:18,0.9725,2023-10,1,1
27,Book 1 Warehouse (8.72),2023-10-15 12:23:13,2023-10-16 14:33:48,26.176388888888887,2023-10,0,0
