Location 1,Opened Datetime,Resolved Datetime,Duration
Book 5 Warehouse (7.00-7.03),2023-12-31 14:07:41,2024-01-01 21:28:05,31.339990833333335
"Book 7 Warehouse (1.02,1.08,5.29)",2023-12-31 14:07:57,2024-01-01 21:25:07,31.28613138888889
"Book 3 Warehouse (7.08,7.09,7.17,7.19,7.20)",2023-12-31 14:07:23,2024-01-01 21:28:29,31.351525
Book 4 Warehouse (8.77),2023-12-31 14:07:31,2024-01-01 21:31:32,31.400209722222222
Book 6 Warehouse (1.58),2023-12-31 14:07:50,2024-01-01 21:26:12,31.30614222222222
"Book 2 Warehouse (8.71,8.46,8.47)",2023-12-31 14:07:15,2024-01-01 21:33:14,31.433072222222222
Book 1 Warehouse (8.72),2023-12-31 13:23:13,2024-01-01 21:30:29,32.121250833333335
"Book 3 Warehouse (7.08,7.09,7.17,7.19,7.20)",2023-12-25 14:07:23,2023-12-25 23:35:45,9.472712222222222
"Book 2 Warehouse (8.71,8.46,8.47)",2023-12-25 14:07:15,2023-12-25 23:33:59,9.445601944444444
Book 1 Warehouse (8.72),2023-12-11 13:23:13,2023-12-11 15:10:05,1.7812569444444444
"Book 3 Warehouse (7.08,7.09,7.17,7.19,7.20)",2023-12-10 14:07:23,2023-12-11 15:07:52,25.007930833333333
"Book 7 Warehouse (1.02,1.08,5.29)",2023-12-10 14:07:57,2023-12-11 15:04:33,24.94334361111111
Book 6 Warehouse (1.58),2023-12-10 14:07:50,2023-12-11 15:05:24,24.959493333333334
Book 5 Warehouse (7.00-7.03),2023-12-10 14:07:41,2023-12-11 15:07:26,24.996030555555556
Book 4 Warehouse (8.77),2023-12-10 14:07:31,2023-12-11 15:13:09,25.093653333333332
"Book 2 Warehouse (8.71,8.46,8.47)",2023-12-10 14:07:15,2023-12-11 15:11:15,25.066923055555556
Book 1 Warehouse (8.72),2023-12-10 13:23:13,2023-12-11 15:10:05,25.781256944444443
Book 5 Warehouse (7.00-7.03),2023-12-04 14:07:41,2023-12-04 15:15:44,1.1343366666666668
Book 4 Warehouse (8.77),2023-12-04 14:07:31,2023-12-04 15:21:20,1.2301005555555555
"Book 2 Warehouse (8.71,8.46,8.47)",2023-12-04 14:07:15,2023-12-04 15:17:35,1.1723733333333333
"Book 3 Warehouse (7.08,7.09,7.17,7.19,7.20)",2023-12-04 14:07:23,2023-12-04 15:16:15,1.1475286111111112
Book 6 Warehouse (1.58),2023-12-04 14:07:50,2023-12-04 15:12:33,1.0786286111111112
"Book 7 Warehouse (1.02,1.08,5.29)",2023-12-04 14:07:57,2023-12-04 15:11:39,1.061785
Book 1 Warehouse (8.72),2023-12-04 13:23:13,2023-12-04 15:19:47,1.942688611111111
"Book 2 Warehouse (8.71,8.46,8.47)",2023-12-03 14:07:15,2023-12-04 15:17:35,25.172373333333333
"Book 3 Warehouse (7.08,7.09,7.17,7.19,7.20)",2023-12-03 14:07:23,2023-12-04 15:16:15,25.14752861111111
Book 5 Warehouse (7.00-7.03),2023-12-03 14:07:41,2023-12-04 15:15:44,25.134336666666666
Book 6 Warehouse (1.58),2023-12-03 14:07:50,2023-12-04 15:12:33,25.07862861111111
Book 4 Warehouse (8.77),2023-12-03 14:07:31,2023-12-04 15:21:20,25.230100555555556
